date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:36:44	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Aug%202023%2015:36:44%20GMT	https://kilicdarogluistifaettimi.com/robots.txt		(from )
08:36:45	22798/22798	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2015:36:44%20GMT	https://kilicdarogluistifaettimi.com/	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/index.html	(from )
08:36:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:44%20GMT	http://kilicdarogluistifaettimi.com/f40b9285b75328bb688002bc56d6363e.png	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/f40b9285b75328bb688002bc56d6363e.0.delayed	(from https://kilicdarogluistifaettimi.com/)
08:36:45	783/783	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Aug%202023%2015:36:45%20GMT	https://kilicdarogluistifaettimi.com/f40b9285b75328bb688002bc56d6363e.png	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/f40b9285b75328bb688002bc56d6363e.png	(from https://kilicdarogluistifaettimi.com/)
08:36:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:45%20GMT	http://kilicdarogluistifaettimi.com/571cc6fbac243a08d85beed3e5eace42.png	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/571cc6fbac243a08d85beed3e5eace42.png	(from https://kilicdarogluistifaettimi.com/)
08:36:46	2407/2407	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Aug%202023%2015:36:45%20GMT	https://kilicdarogluistifaettimi.com/571cc6fbac243a08d85beed3e5eace42.png	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/571cc6fbac243a08d85beed3e5eace42.png	(from https://kilicdarogluistifaettimi.com/)
08:36:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:45%20GMT	http://kilicdarogluistifaettimi.com/c03db77f4703e4900ff5f3f1affdb044.png	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/c03db77f4703e4900ff5f3f1affdb044.png	(from https://kilicdarogluistifaettimi.com/)
08:36:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:46%20GMT	http://kilicdarogluistifaettimi.com/fonts/85cae02634f058f57a670eeb6caf84a9.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/85cae02634f058f57a670eeb6caf84a9.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:46	47334/47334	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Aug%202023%2015:36:46%20GMT	https://kilicdarogluistifaettimi.com/c03db77f4703e4900ff5f3f1affdb044.png	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/c03db77f4703e4900ff5f3f1affdb044.png	(from https://kilicdarogluistifaettimi.com/)
08:36:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:46%20GMT	http://kilicdarogluistifaettimi.com/fonts/3215dd28592b9e3fe76992fe81ad8c32.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/3215dd28592b9e3fe76992fe81ad8c32.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:48	108156/108156	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2031%20Aug%202023%2015:36:46%20GMT	https://kilicdarogluistifaettimi.com/fonts/85cae02634f058f57a670eeb6caf84a9.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/85cae02634f058f57a670eeb6caf84a9.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:48%20GMT	http://kilicdarogluistifaettimi.com/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:50	107760/107760	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2031%20Aug%202023%2015:36:48%20GMT	https://kilicdarogluistifaettimi.com/fonts/3215dd28592b9e3fe76992fe81ad8c32.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/3215dd28592b9e3fe76992fe81ad8c32.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:50%20GMT	http://kilicdarogluistifaettimi.com/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:51	194188/194188	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2031%20Aug%202023%2015:36:50%20GMT	https://kilicdarogluistifaettimi.com/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:51%20GMT	http://kilicdarogluistifaettimi.com/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:53	194064/194064	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2031%20Aug%202023%2015:36:51%20GMT	https://kilicdarogluistifaettimi.com/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:53%20GMT	http://kilicdarogluistifaettimi.com/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:55	201132/201132	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2031%20Aug%202023%2015:36:53%20GMT	https://kilicdarogluistifaettimi.com/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:55%20GMT	http://kilicdarogluistifaettimi.com/images/9cffeef09f04939d28f624a5ad3eb9a1.jpg	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/images/9cffeef09f04939d28f624a5ad3eb9a1.jpg	(from https://kilicdarogluistifaettimi.com/)
08:36:57	203232/203232	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2031%20Aug%202023%2015:36:55%20GMT	https://kilicdarogluistifaettimi.com/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://kilicdarogluistifaettimi.com/)
08:36:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Aug%202023%2015:36:57%20GMT	http://kilicdarogluistifaettimi.com/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	(from https://kilicdarogluistifaettimi.com/)
08:36:59	255578/255578	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20Aug%202023%2015:36:57%20GMT	https://kilicdarogluistifaettimi.com/images/9cffeef09f04939d28f624a5ad3eb9a1.jpg	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/images/9cffeef09f04939d28f624a5ad3eb9a1.jpg	(from https://kilicdarogluistifaettimi.com/)
08:36:59	230/230	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2031%20Aug%202023%2015:36:59%20GMT	https://kilicdarogluistifaettimi.com/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	C:/Users/mboduroglu/OneDrive/Documents/Kilicdaroglu/Kilicdaroglu/kilicdarogluistifaettimi.com/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	(from https://kilicdarogluistifaettimi.com/)
